Time,AE,EC,M,O
0.296724138,28904.48276,0.000220679,0.069207883,0
0.793940678,25304.91525,0.000138559,0.073299673,0
1.294808511,26733.78723,0.000100102,0.072720482,0
1.795127119,30515.80508,7.88E-05,0.069156882,0
2.296822034,24408.34746,6.53E-05,0.074386053,0
2.797489362,30234.6383,5.49E-05,0.069152064,0
3.297564103,23680,4.83E-05,0.075243744,0
3.795064378,28091.88841,4.35E-05,0.071982522,0
4.293516949,25234.40678,3.86E-05,0.071886257,0
4.795579399,26517.12446,3.52E-05,0.074840219,0
5.295,29092.54237,3.23E-05,0.070899939,0
5.796553191,24638.85106,3.02E-05,0.078426557,0
6.296111111,28964.91453,2.75E-05,0.06965745,0
6.796680851,24833.14894,2.61E-05,0.074140272,0
7.296239316,26027.77778,2.46E-05,0.073509422,0
7.795470085,30405.51282,2.30E-05,0.069648852,0
8.294316239,23266.06838,2.18E-05,0.076141695,0
8.793418803,30467.94872,2.09E-05,0.069511585,0
9.294978903,23050.7173,1.99E-05,0.075325149,0
9.797659574,29030.04255,1.88E-05,0.071276186,0
10.29536481,24989.18455,1.82E-05,0.071220073,0
10.796,26337.74468,1.75E-05,0.072436965,0
11.29695279,29274.4206,1.68E-05,0.06656068,0
11.79457265,24253.63248,1.63E-05,0.074471012,0
12.29374468,29394.29787,1.55E-05,0.067191387,0
12.78991304,25182.26087,1.54E-05,0.072230487,0
13.297,26302.3,1.69E-05,0.08129012,0
13.79512438,30579.70149,1.62E-05,0.076048612,0
14.29683417,23862.0603,1.57E-05,0.084132651,0
14.79653465,30813.9604,1.53E-05,0.074853871,0
15.29718593,23413.86935,1.51E-05,0.083941757,0
15.79415,28808.7,1.45E-05,0.078446627,0
16.29262376,25856.08911,1.42E-05,0.078167899,0
16.79502488,25634.12935,1.37E-05,0.083633279,0
17.29621891,29640.34826,1.34E-05,0.074735,0
17.79485,24354.2,1.32E-05,0.084627711,0
18.29509901,29912.77228,1.29E-05,0.076798461,0
